,ID,exp_no,seed_val,sparsity,task,epochno,train_loss,test_loss,accuracy,num_masks,seed_model
0,basis-supsup,0,0,1,0,1,1.618109,1.6096,0.2,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
1,basis-supsup,0,0,1,0,2,1.524732,1.61,0.2,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
2,basis-supsup,0,0,1,0,3,1.476522,1.6098,0.2,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
3,basis-supsup,0,0,1,0,4,1.483625,1.6006,0.204,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
4,basis-supsup,0,0,1,0,5,1.497232,1.5133,0.39,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
5,basis-supsup,0,0,1,0,6,1.444789,1.4502,0.432,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
6,basis-supsup,0,0,1,0,7,1.365898,1.4442,0.43,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
7,basis-supsup,0,0,1,0,8,1.456882,1.4182,0.448,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
8,basis-supsup,0,0,1,0,9,1.420936,1.4037,0.454,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
9,basis-supsup,0,0,1,0,10,1.481191,1.3705,0.466,20,/scratch/db4045/runs/dhrupad_runs_gpu_random_weights/SupsupSeed/rn18-supsup_num_masks_20/id=supsup~seed=0~sparsity=1~try=0//final.pt
