,ID,exp_no,seed_val,sparsity,task,epochno,train_loss,test_loss,accuracy,num_masks,seed_model
0,basis-supsup,0,0,1,0,1,1.575941,1.6445,0.202,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
1,basis-supsup,0,0,1,0,2,1.489885,1.571,0.28,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
2,basis-supsup,0,0,1,0,3,1.511402,1.4354,0.428,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
3,basis-supsup,0,0,1,0,4,1.441016,1.376,0.444,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
4,basis-supsup,0,0,1,0,5,1.343122,1.318,0.482,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
5,basis-supsup,0,0,1,0,6,1.342487,1.2762,0.506,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
6,basis-supsup,0,0,1,0,7,1.317649,1.2719,0.506,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
7,basis-supsup,0,0,1,0,8,1.129524,1.2615,0.508,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
8,basis-supsup,0,0,1,0,9,1.319737,1.2871,0.494,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
9,basis-supsup,0,0,1,0,10,1.123955,1.2643,0.496,12,/scratch/db4045/runs/dhrupad_runs_gpu/SupsupSeed/rn18-supsup_num_masks_12/id=supsup~seed=0~sparsity=1~try=0//final.pt
