Date Finished,Name,Current Val,Best Val,Save Directory
10-31-20_09:40:29, id=supsup~seed=0~sparsity=1~try=5~set=RandSplitCIFAR100~task=0, 0.7300, 0.7400, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=5
10-31-20_09:42:59, id=supsup~seed=0~sparsity=1~try=7~set=RandSplitCIFAR100~task=0, 0.7560, 0.7560, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=7
10-31-20_09:43:30, id=supsup~seed=0~sparsity=1~try=8~set=RandSplitCIFAR100~task=0, 0.7340, 0.7360, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=8
10-31-20_09:46:42, id=supsup~seed=0~sparsity=1~try=5~set=RandSplitCIFAR100~task=1, 0.7320, 0.7720, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=5
10-31-20_09:48:38, id=supsup~seed=0~sparsity=1~try=7~set=RandSplitCIFAR100~task=1, 0.7460, 0.7660, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=7
10-31-20_09:49:15, id=supsup~seed=0~sparsity=1~try=8~set=RandSplitCIFAR100~task=1, 0.7500, 0.7680, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=8
10-31-20_09:52:43, id=supsup~seed=0~sparsity=1~try=5~set=RandSplitCIFAR100~task=2, 0.8540, 0.8620, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=5
10-31-20_09:54:16, id=supsup~seed=0~sparsity=1~try=7~set=RandSplitCIFAR100~task=2, 0.8420, 0.8540, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=7
10-31-20_09:55:01, id=supsup~seed=0~sparsity=1~try=8~set=RandSplitCIFAR100~task=2, 0.8380, 0.8480, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=1~try=8
10-31-20_09:59:09, id=supsup~seed=0~sparsity=2~try=6~set=RandSplitCIFAR100~task=0, 0.7980, 0.8060, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=6
10-31-20_10:00:31, id=supsup~seed=0~sparsity=2~try=7~set=RandSplitCIFAR100~task=0, 0.7700, 0.7780, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=7
10-31-20_10:01:17, id=supsup~seed=0~sparsity=2~try=8~set=RandSplitCIFAR100~task=0, 0.7840, 0.7860, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=8
10-31-20_10:05:28, id=supsup~seed=0~sparsity=2~try=6~set=RandSplitCIFAR100~task=1, 0.7700, 0.7820, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=6
10-31-20_10:06:26, id=supsup~seed=0~sparsity=2~try=7~set=RandSplitCIFAR100~task=1, 0.7740, 0.7900, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=7
10-31-20_10:07:15, id=supsup~seed=0~sparsity=2~try=8~set=RandSplitCIFAR100~task=1, 0.7800, 0.7960, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=8
10-31-20_10:11:48, id=supsup~seed=0~sparsity=2~try=6~set=RandSplitCIFAR100~task=2, 0.8540, 0.8760, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=6
10-31-20_10:12:23, id=supsup~seed=0~sparsity=2~try=7~set=RandSplitCIFAR100~task=2, 0.8680, 0.8860, runs/SupsupSeed/rn18-supsup_gpu2_num_masks_3/id=supsup~seed=0~sparsity=2~try=7
