Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_21:19:04, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_0~numtaskslearned=12~tasknumber=0, RandSplitCIFAR100_0, 12, 0.7820, 0.7980
11-03-20_21:19:05, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_1~numtaskslearned=12~tasknumber=1, RandSplitCIFAR100_1, 12, 0.7600, 0.7660
11-03-20_21:19:05, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_2~numtaskslearned=12~tasknumber=2, RandSplitCIFAR100_2, 12, 0.8740, 0.8620
11-03-20_21:19:05, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_3~numtaskslearned=12~tasknumber=3, RandSplitCIFAR100_3, 12, 0.8920, 0.8780
11-03-20_21:19:05, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_4~numtaskslearned=12~tasknumber=4, RandSplitCIFAR100_4, 12, 0.8520, 0.8480
11-03-20_21:19:06, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_5~numtaskslearned=12~tasknumber=5, RandSplitCIFAR100_5, 12, 0.8980, 0.9000
11-03-20_21:19:06, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_6~numtaskslearned=12~tasknumber=6, RandSplitCIFAR100_6, 12, 0.8600, 0.8680
11-03-20_21:19:06, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_7~numtaskslearned=12~tasknumber=7, RandSplitCIFAR100_7, 12, 0.7120, 0.7340
11-03-20_21:19:07, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_8~numtaskslearned=12~tasknumber=8, RandSplitCIFAR100_8, 12, 0.8380, 0.8280
11-03-20_21:19:07, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_9~numtaskslearned=12~tasknumber=9, RandSplitCIFAR100_9, 12, 0.8000, 0.8080
11-03-20_21:19:07, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_10~numtaskslearned=12~tasknumber=10, RandSplitCIFAR100_10, 12, 0.8860, 0.8800
11-03-20_21:19:07, id=supsup~seed=0~sparsity=2~try=0~task=RandSplitCIFAR100_11~numtaskslearned=12~tasknumber=11, RandSplitCIFAR100_11, 12, 0.7560, 0.7600
