Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
10-12-20_20:24:32, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_0~numtaskslearned=20~tasknumber=0, RandSplitCIFAR100_0, 20, 0.7640, 0.7560
10-12-20_20:24:32, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_1~numtaskslearned=20~tasknumber=1, RandSplitCIFAR100_1, 20, 0.7900, 0.8080
10-12-20_20:24:32, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_2~numtaskslearned=20~tasknumber=2, RandSplitCIFAR100_2, 20, 0.8600, 0.8560
10-12-20_20:24:33, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_3~numtaskslearned=20~tasknumber=3, RandSplitCIFAR100_3, 20, 0.8540, 0.8400
10-12-20_20:24:33, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_4~numtaskslearned=20~tasknumber=4, RandSplitCIFAR100_4, 20, 0.8360, 0.8440
10-12-20_20:24:33, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_5~numtaskslearned=20~tasknumber=5, RandSplitCIFAR100_5, 20, 0.9100, 0.9060
10-12-20_20:24:34, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_6~numtaskslearned=20~tasknumber=6, RandSplitCIFAR100_6, 20, 0.8600, 0.8700
10-12-20_20:24:34, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_7~numtaskslearned=20~tasknumber=7, RandSplitCIFAR100_7, 20, 0.7360, 0.7340
10-12-20_20:24:34, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_8~numtaskslearned=20~tasknumber=8, RandSplitCIFAR100_8, 20, 0.8140, 0.8320
10-12-20_20:24:35, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_9~numtaskslearned=20~tasknumber=9, RandSplitCIFAR100_9, 20, 0.8200, 0.8020
10-12-20_20:24:35, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_10~numtaskslearned=20~tasknumber=10, RandSplitCIFAR100_10, 20, 0.8780, 0.8680
10-12-20_20:24:35, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_11~numtaskslearned=20~tasknumber=11, RandSplitCIFAR100_11, 20, 0.7440, 0.7520
10-12-20_20:24:36, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_12~numtaskslearned=20~tasknumber=12, RandSplitCIFAR100_12, 20, 0.8060, 0.8040
10-12-20_20:24:36, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_13~numtaskslearned=20~tasknumber=13, RandSplitCIFAR100_13, 20, 0.7820, 0.7820
10-12-20_20:24:36, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_14~numtaskslearned=20~tasknumber=14, RandSplitCIFAR100_14, 20, 0.7740, 0.7780
10-12-20_20:24:36, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_15~numtaskslearned=20~tasknumber=15, RandSplitCIFAR100_15, 20, 0.8660, 0.8600
10-12-20_20:24:37, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_16~numtaskslearned=20~tasknumber=16, RandSplitCIFAR100_16, 20, 0.7880, 0.7940
10-12-20_20:24:37, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_17~numtaskslearned=20~tasknumber=17, RandSplitCIFAR100_17, 20, 0.8340, 0.8260
10-12-20_20:24:37, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_18~numtaskslearned=20~tasknumber=18, RandSplitCIFAR100_18, 20, 0.8940, 0.8820
10-12-20_20:24:38, id=supsup~seed=0~sparsity=2~try=4~task=RandSplitCIFAR100_19~numtaskslearned=20~tasknumber=19, RandSplitCIFAR100_19, 20, 0.7200, 0.7520
