Date Finished,Name,Current Val,Best Val,Save Directory
10-31-20_10:46:56, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=0, 0.6260, 0.6260, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=0
10-31-20_10:47:19, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=1, 0.5960, 0.5960, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=0
10-31-20_10:47:42, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=2, 0.6840, 0.6860, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=0
10-31-20_10:48:17, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=0, 0.6380, 0.6580, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=2~try=0
10-31-20_10:48:39, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=1, 0.6220, 0.6260, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=2~try=0
10-31-20_10:49:02, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=2, 0.7700, 0.7700, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=2~try=0
10-31-20_10:49:35, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=0, 0.6740, 0.6800, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=4~try=0
10-31-20_10:49:58, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=1, 0.6560, 0.6560, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=4~try=0
10-31-20_10:50:20, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=2, 0.7980, 0.7980, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=4~try=0
10-31-20_10:50:52, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=0, 0.7060, 0.7060, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=8~try=0
10-31-20_10:51:15, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=1, 0.7180, 0.7180, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=8~try=0
10-31-20_10:51:38, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=2, 0.8140, 0.8340, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=8~try=0
10-31-20_10:52:12, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=0, 0.7100, 0.7100, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=16~try=0
10-31-20_10:52:35, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=1, 0.7120, 0.7120, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=16~try=0
10-31-20_10:52:58, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=2, 0.8220, 0.8220, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=16~try=0
10-31-20_10:53:31, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=0, 0.7240, 0.7240, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=32~try=0
10-31-20_10:53:54, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=1, 0.7260, 0.7260, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=32~try=0
10-31-20_10:54:16, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=2, 0.8500, 0.8500, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=32~try=0
10-31-20_11:29:25, id=supsup~seed=0~sparsity=1~try=2~set=RandSplitCIFAR100~task=0, 0.7260, 0.7480, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=2
10-31-20_11:30:03, id=supsup~seed=0~sparsity=1~try=4~set=RandSplitCIFAR100~task=0, 0.7340, 0.7440, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=4
10-31-20_11:32:08, id=supsup~seed=0~sparsity=1~try=1~set=RandSplitCIFAR100~task=0, 0.7520, 0.7620, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=1
10-31-20_11:35:20, id=supsup~seed=0~sparsity=1~try=2~set=RandSplitCIFAR100~task=1, 0.7680, 0.7680, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=2
10-31-20_11:36:22, id=supsup~seed=0~sparsity=1~try=4~set=RandSplitCIFAR100~task=1, 0.7500, 0.7500, runs/supsupseed_at/num_mask_3/id=supsup~seed=0~sparsity=1~try=4
