Date Finished,Name,Current Val,Best Val,Save Directory
10-31-20_11:41:20, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=0, 0.6260, 0.6260, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=1~try=0
10-31-20_11:41:34, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=1, 0.6120, 0.6120, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=1~try=0
10-31-20_11:41:49, id=supsup~seed=0~sparsity=1~try=0~set=RandSplitCIFAR100~task=2, 0.6780, 0.7040, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=1~try=0
10-31-20_11:42:14, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=0, 0.6380, 0.6640, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=2~try=0
10-31-20_11:42:29, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=1, 0.6220, 0.6260, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=2~try=0
10-31-20_11:42:43, id=supsup~seed=0~sparsity=2~try=0~set=RandSplitCIFAR100~task=2, 0.7460, 0.7660, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=2~try=0
10-31-20_11:43:08, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=0, 0.6860, 0.6860, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=4~try=0
10-31-20_11:43:23, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=1, 0.6640, 0.6740, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=4~try=0
10-31-20_11:43:37, id=supsup~seed=0~sparsity=4~try=0~set=RandSplitCIFAR100~task=2, 0.7920, 0.7920, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=4~try=0
10-31-20_11:44:03, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=0, 0.6900, 0.6900, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=8~try=0
10-31-20_11:44:17, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=1, 0.7280, 0.7280, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=8~try=0
10-31-20_11:44:32, id=supsup~seed=0~sparsity=8~try=0~set=RandSplitCIFAR100~task=2, 0.8040, 0.8200, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=8~try=0
10-31-20_11:44:58, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=0, 0.7080, 0.7160, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=16~try=0
10-31-20_11:45:12, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=1, 0.7080, 0.7080, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=16~try=0
10-31-20_11:45:27, id=supsup~seed=0~sparsity=16~try=0~set=RandSplitCIFAR100~task=2, 0.8240, 0.8240, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=16~try=0
10-31-20_11:45:52, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=0, 0.7340, 0.7340, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=32~try=0
10-31-20_11:46:07, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=1, 0.7300, 0.7300, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=32~try=0
10-31-20_11:46:21, id=supsup~seed=0~sparsity=32~try=0~set=RandSplitCIFAR100~task=2, 0.8340, 0.8340, runs/supsupseed_at/num_mask_3_gpu_1_epoch_10/id=supsup~seed=0~sparsity=32~try=0
